# Clase8 - sistemas_multiagente (con timestamps)

[00:00:00 -> 00:00:24]  Un
[02:40:39 -> 02:40:45]  luego de cada gente y lo que pueden hacer es cambiar de manera aleatoria, la gente dijo a 1.
[02:40:46 -> 02:40:52]  Porque eso, el slip, o sea, el ambiente, la gente dice voy a hacer a 1.
[02:40:52 -> 02:40:55]  Pero sacarme la gente, sacarme la gente, no hago...
[02:40:55 -> 02:41:00]  Sí, pero eso no, sí, pero eso realmente es...
[02:41:00 -> 02:41:09]  Y ahora, de acuerdo, a ver si te entendiste, cuando se la acción conjunta, cuando estás armando la acción conjunta, ahí resisto.
[02:41:09 -> 02:41:14]  Te dijo alguno de los tres que quise ponerle y le cambio de acción a ese.
[02:41:14 -> 02:41:16]  Claro, ya, se mueren.
[02:41:16 -> 02:41:17]  Y se cambia de los tres.
[02:41:17 -> 02:41:20]  No, a todos.
[02:41:20 -> 02:41:24]  Por eso es que hay que decir a uno, a todos, le haces a todos.
[02:41:24 -> 02:41:29]  puedo hacer la que yo quiero para cada uno y bueno con una probabilidad muy baja va a cambiar lo que yo quiero.
[02:41:29 -> 02:41:42]  Es como el de la gente de Inmaze, de la gente de Croc in Lay, uno de esos agentes que tienen Slippery, que tienen North, East...
[02:41:42 -> 02:41:44]  No nos siga la Inmaze.
[02:41:44 -> 02:41:47]  Claro, no nos siga la Inmaze.
[02:41:47 -> 02:41:53]  Claro, por eso le digo, por eso me iba a hacer un teatrán que es lo más fácil de hacer un teatrán.
[02:41:53 -> 02:42:00]  en el rap, nosotros le dimos un ambiente.
[02:42:00 -> 02:42:14]  No, no, puedes hablar del rap, el rap es muy fácil, no meterse con el foraging puro y duro que está dentro de nuestro ambiente, porque ese es inexplicable.
[02:42:14 -> 02:42:17]  Pero alcanza con a este, lo llevo visto.
[02:42:17 -> 02:42:24]  Y con una propagadía 0 a 1, lo cambié.
[02:42:24 -> 02:42:27]  Y creo que esa era una manera fácil.
[02:42:27 -> 02:42:29]  Pero no se preocupen porque no tienen problema.
[02:42:29 -> 02:42:31]  ¿Comparado de cubetes con qué?
[02:42:31 -> 02:42:33]  Que tienen bastante con...
[02:42:35 -> 02:42:37]  Quería que debiera de informe, ¿no?
[02:42:37 -> 02:42:39]  ¿Y también el de informe?
[02:42:39 -> 02:42:43]  ¿También es más troca?
[02:42:43 -> 02:42:46]  y después se va a poder comer esto.
[02:42:46 -> 02:42:49]  Y a ver cómo lo veas.
[02:42:49 -> 02:42:52]  Es un poco tipo de cerrar algo.
[02:42:52 -> 02:42:56]  Y bueno, yo le dije que a un lado me gustaría que la cristiana le diga
[02:42:56 -> 02:43:00]  si eso si no le sale, que la tiran a...
[02:43:00 -> 02:43:02]  No, ya, ya, ya.
[02:43:02 -> 02:43:08]  Entonces, si quieren venir, todos...
[02:43:08 -> 02:43:13]  Bueno, al libro, las que...
[02:43:13 -> 02:43:16]  ...la que tiene papel de vigera, esa...
[02:43:16 -> 02:43:18]  ...este...
[02:43:18 -> 02:43:20]  Sí, sí, sí.
[02:43:20 -> 02:43:22]  Esto es el...
[02:43:22 -> 02:43:24]  ...el que ha estado...
[02:43:24 -> 02:43:26]  ...el que ha estado...
[02:43:26 -> 02:43:28]  ...bueno...
[02:43:28 -> 02:43:32]  ...para el gobierno en esta, es solamente el que le...
[02:43:32 -> 02:43:33]  ...pero...
[02:43:33 -> 02:43:35]  ...todo esto es introducción, de la de...
[02:43:35 -> 02:43:37]  ...como el que cada uno se vigere...
[02:43:37 -> 02:43:43]  Así que, le dimos todo el recto, esto es tocha, todo el recto.
[02:43:43 -> 02:43:47]  Los volvemos a 17, 17, y tenemos 4.
[02:43:47 -> 02:43:54]  Hoy dimos que vamos a hacer también el final de la primera vez.
[02:43:54 -> 02:43:56]  Y acá empezamos.
[02:43:56 -> 02:43:58]  El 4 y el 7.
[02:43:58 -> 02:44:00]  ¿Cuál es el problema?
[02:44:00 -> 02:44:06]  El problema es que el tiempo y la sensación.
[02:44:06 -> 02:44:08]  El tiempo y la sensación.
[02:44:08 -> 02:44:10]  Y esto es lo que más se puede acordar.
[02:44:10 -> 02:44:12]  Hay que dar unas dos primeras filas.
[02:44:12 -> 02:44:14]  A ver si...
[02:44:14 -> 02:44:16]  La sensación y la sensación.
[02:44:16 -> 02:44:18]  ¿Ves?
[02:44:18 -> 02:44:20]  Esa es la evolución de la franquicia.
[02:44:20 -> 02:44:22]  Hay dos que son parecidas, digamos, o menos las mismas curvas.
[02:44:22 -> 02:44:24]  Es la evolución de la...
[02:44:24 -> 02:44:30]  la evolución de la recompensa o la devolución de la...
[02:44:30 -> 02:44:32]  La devolución de la promedio.
[02:44:32 -> 02:44:34]  Sí, la devolución de la recompensa.
[02:44:34 -> 02:44:36]  ¿Valo?
[02:44:36 -> 02:44:38]  O la...
[02:44:38 -> 02:44:40]  ¿Eso es la devolución de la recompensa?
[02:44:40 -> 02:44:42]  Sí.
[02:44:42 -> 02:44:44]  ¿Esta?
[02:44:44 -> 02:44:46]  Sí, la valoría.
[02:44:46 -> 02:44:48]  La valería.
[02:44:48 -> 02:44:50]  Y acá, bueno, la perspectiva ronda,
[02:44:50 -> 02:44:52]  ya que se ve buena gente que esto que está haciendo,
[02:44:52 -> 02:44:56]  Esto es lo mismo, lo más largo es lo que se ve
[02:44:57 -> 02:45:00]  Este que tiene 50 mil, este que tiene solo mil
[02:45:00 -> 02:45:02]  Esta fue una sola vez
[02:45:02 -> 02:45:05]  Es de la largo policy o de la play policy?
[02:45:10 -> 02:45:14]  No voy a conseguir que yo oscare a ustedes, pero la técnica del otro
[02:45:15 -> 02:45:18]  Es la que aprende cada gente para decir que voy a elegir
[02:45:18 -> 02:45:23]  No, no, no, no, está bien ahí. O sea, en realidad tiene los dos, cada uno muestra la del otro y la otra algo parqueando o algo así.
[02:45:23 -> 02:45:27]  Sí, y comparten bien.
[02:45:27 -> 02:45:30]  Pero ahí está, no hay ninguna duda porque las mismas...
[02:45:30 -> 02:45:39]  Otra cosa que hicimos fue la distancia contra los dos de los que el vídeo debería ser,
[02:45:39 -> 02:45:44]  de la distancia contra la que vamos a hablar hoy en día, que el video debería ser
[02:45:44 -> 02:45:52]  donde pusimos la distancia en el video para ver eso
[02:45:52 -> 02:45:55]  y finalmente el cual problema que hubo.
[02:45:57 -> 02:45:59]  Por lo mejor el experimento...
[02:45:59 -> 02:46:01]  Bueno, chau, chau.
[02:46:01 -> 02:46:05]  ...el video era un coincido, creo que fue un coincido.
[02:46:05 -> 02:46:12]  No, porque es como lo otro, o sea, yo no lo sé bien, porque tiene el quidro papeletisguerazo.
[02:46:12 -> 02:46:13]  Sí.
[02:46:13 -> 02:46:14]  ¿Lo más usado?
[02:46:14 -> 02:46:24]  Ah, por eso, porque ahí está, ahí también lo pueden mostrar, este triangulito también lo pueden mostrar con el de la otra.
[02:46:24 -> 02:46:25]  Ah.
[02:46:25 -> 02:46:27]  O sea, es interesante.
[02:46:27 -> 02:46:31]  Con el de la otra, con el de Machupeza.
[02:46:31 -> 02:46:34]  Con el de la otra, con el de la otra, con el de Machupeza.
[02:46:34 -> 02:46:36]  No, no, no, no.
[02:46:36 -> 02:46:38]  No, no, no, no.
[02:46:38 -> 02:46:40]  Está compartiendo...
[02:46:40 -> 02:46:42]  está compartiendo a...
[02:46:42 -> 02:46:44]  a cosas cercanas,
[02:46:44 -> 02:46:46]  que también está...
[02:46:46 -> 02:46:48]  No, pero...
[02:46:48 -> 02:46:50]  Este es el número...
[02:46:50 -> 02:46:52]  No, pero...
[02:46:52 -> 02:46:54]  No, está bueno, está bueno.
[02:46:54 -> 02:46:56]  El número 3, sí, está bueno.
[02:46:58 -> 02:47:00]  El número 3,
[02:47:00 -> 02:47:02]  está bueno.
[02:47:32 -> 02:47:34]  No, no hay más, hay seis.
[02:47:34 -> 02:47:36]  Bueno, eh...
[02:47:36 -> 02:47:38]  ¿Qué tal?
[02:47:38 -> 02:47:40]  La parte de acá la pueden poner en dos.
[02:47:42 -> 02:47:44]  O sea, más.
[02:47:44 -> 02:47:48]  No, para que ahí pueden separar en dos.
[02:47:48 -> 02:47:50]  Para ver.
[02:47:50 -> 02:47:52]  Para ver el otro.
[02:47:52 -> 02:47:54]  ¿No sé?
[02:47:54 -> 02:47:56]  Bien.
[02:47:56 -> 02:47:58]  Vale, vale.
[02:47:58 -> 02:48:00]  ¿Y otra cuál es?
[02:48:00 -> 02:48:10]  distancia a la política de miza.
[02:48:10 -> 02:48:12]  Al equilibrio conocido.
[02:48:12 -> 02:48:15]  Debe ser distancia a un tercer centro central.
[02:48:15 -> 02:48:17]  Pero distancia de dos, ¿no?
[02:48:17 -> 02:48:22]  Es decir, cuadrado del primero y de otro del otro.
[02:48:22 -> 02:48:25]  De eso he de convertir a serie.
[02:48:25 -> 02:48:29]  Son pocas, pero para que la gráfica quedara nuevamente.
[02:48:29 -> 02:48:33]  La... ¿qué pasó? Cuando hacemos cosas con muchas,
[02:48:33 -> 02:48:39]  para eso en realidad era este gráfico que estaremos...
[02:48:39 -> 02:48:40]  No.
[02:48:40 -> 02:48:44]  Cuando hicimos una tarea se entendía la gráfica.
[02:48:44 -> 02:48:47]  Entonces dijimos, hacemos un menú y trotamos a ver qué.
[02:48:47 -> 02:48:50]  Una cosa que pueden ver, que puede ser...
[02:48:50 -> 02:48:52]  y también los de...
[02:48:52 -> 02:48:54]  los de...
[02:48:54 -> 02:48:56]  no, no...
[02:48:56 -> 02:48:58]  y jugaron fue con... o sea...
[02:48:58 -> 02:49:00]  ver las acciones de China, no solamente la...
[02:49:00 -> 02:49:02]  la...
[02:49:02 -> 02:49:04]  la...
[02:49:04 -> 02:49:06]  la...
[02:49:06 -> 02:49:08]  o sea, por ejemplo, sobre todo el Quintillo Play
[02:49:08 -> 02:49:10]  que juega a Mecum Pons
[02:49:10 -> 02:49:12]  ¿cuántas veces jugó? ¿cuántas veces?
[02:49:12 -> 02:49:16]  o sea, ¿cuál es la distribución real que jugó?
[02:49:16 -> 02:49:18]  o sea que...
[02:49:18 -> 02:49:26]  acá por ejemplo, no sé si estás hablando de esto, pero acá está la ventiga actual,
[02:49:26 -> 02:49:35]  esto es la ventiga promedio para el caso de los frijillos con la ventiga de la macha.
[02:49:35 -> 02:49:39]  Esto es solo para la ventiga de la macha.
[02:49:39 -> 02:49:46]  La que jugó realmente es la azul,
[02:49:46 -> 02:49:51]  y esta, la naranja, es el primer.
[02:49:51 -> 02:49:56]  Entonces, es como que acá te queda más claro la convergencia del a promedio
[02:49:56 -> 02:49:58]  y esto es lo que hizo.
[02:49:58 -> 02:50:02]  Obviamente, el simulacro que hizo...
[02:50:02 -> 02:50:04]  Exacto, entre el aprendiz y los que...
[02:50:04 -> 02:50:10]  Pero si no unes el a promedio, la convencia es a 0,5
[02:50:10 -> 02:50:14]  y que a mí entendía que es 0,5
[02:50:14 -> 02:50:22]  Creo que si explotean la acción jugada, no la...
[02:50:23 -> 02:50:28]  Porque en RegretMatching el edificio es absurdo, de acuerdo a la instrucción.
[02:50:29 -> 02:50:33]  En tissuePlay hace ver fonts, o al termínimo.
[02:50:34 -> 02:50:41]  Igual en los dos casos es interesante ver el histograma de las acciones jugadas.
[02:50:41 -> 02:50:43]  Y lo que hay que poder hacer.
[02:50:44 -> 02:50:51]  O sea, ¿qué jugó? Porque el Regret Machine está aprendiendo a una distribución,
[02:50:51 -> 02:50:57]  juega una determinada distribución y tira al saco.
[02:50:57 -> 02:51:00]  El Regret Machine.
[02:51:04 -> 02:51:08]  Y el Precision Player hace una response.
[02:51:08 -> 02:51:17]  Entonces, normalmente eso debería ser tipo 50-50, y todo lo más.
[02:51:17 -> 02:51:18]  Para ver.
[02:51:20 -> 02:51:24]  Si ustedes ven, si ustedes van a intentar ver eso, ¿sabes?
[02:51:24 -> 02:51:30]  Es un encater block, donde el programa que ven es ver el perjil realmente de ayer que jugó.
[02:51:30 -> 02:51:36]  Entonces por ahí vemos que, en promedio jugó un timita, pero capaz que jugó ráfaga de
[02:51:36 -> 02:51:41]  El de Hell y todas las maras de A.I. y todas las maras de A.I.
[02:51:41 -> 02:51:44]  Pero pasa eso.
[02:51:44 -> 02:51:45]  Claro, por eso.
[02:51:45 -> 02:51:49]  Lo vemos a E.S.O. y de alguna forma esto lo representa.
[02:51:49 -> 02:51:52]  Porque entiendo lo de hacer lo otro.
[02:51:54 -> 02:51:57]  Y yo me recordaría, esto para que me mantenga solo, está bien.
[02:51:57 -> 02:52:04]  Pero, el trote dice que el loco está siempre jugando lo mismo hasta que llega al abajo.
[02:52:04 -> 02:52:13]  Bueno, acá la plaza y la casera, pero porque si es bastante lo que veo que está jugando es ahí...
[02:52:15 -> 02:52:18]  Y queda como cada vez que cuesta más por llevar.
[02:52:18 -> 02:52:20]  Eso también sería.
[02:52:21 -> 02:52:23]  Pero por más que quiera que te acarte...
[02:52:26 -> 02:52:31]  No tenés saludos porque bueno, ahora mismo soy valiente en...
[02:52:31 -> 02:52:32]  No.
[02:52:32 -> 02:52:34]  ¿El Pitches Plains?
[02:52:34 -> 02:52:36]  No, el Pitches Plains.
[02:52:36 -> 02:52:39]  ¿Cómo usted histograma y está teniendo algo que es raro?
[02:52:39 -> 02:52:47]  ¿Es lo que ha sido? ¿El loco jugador anhelé o no es la policy que está en detección?
[02:52:47 -> 02:52:53]  Es la policy, pero está en el acción.
[02:52:53 -> 02:52:55]  Es la política que tiene.
[02:52:55 -> 02:52:57]  Pero es la polo.
[02:52:57 -> 02:52:59]  y solo haciendo...
[02:52:59 -> 02:53:01]  ¿Cómo se es que...?
[02:53:01 -> 02:53:03]  Polis...
[02:53:03 -> 02:53:05]  ¿Cómo se llama?
[02:53:05 -> 02:53:07]  ¿Y te quise como un vizero no?
[02:53:07 -> 02:53:09]  Si, por eso, por eso.
[02:53:13 -> 02:53:15]  Porque se mueve bien.
[02:53:15 -> 02:53:17]  Si, eso es lo que quería...
[02:53:17 -> 02:53:19]  Porque la barra no da lo que hicimos, porque parece que no hay un código malo.
[02:53:19 -> 02:53:23]  No, no, porque uno solo dice de la Vigilance Machine, pero...
[02:53:27 -> 02:53:32]  Parece raro que...
[02:53:35 -> 02:53:37]  No lo verás, vamos a ver.
[02:53:40 -> 02:53:42]  Y ahí están...
[02:53:43 -> 02:53:46]  O sea, porque daba la sensación que como si ya no eran más, ¿sabes?
[02:53:46 -> 02:53:50]  Sí, pero la verdad es que esto no es que el valor sea eso, ¿no?
[02:53:50 -> 02:53:53]  Esto es que tomó la decisión...
[02:53:53 -> 02:53:57]  Esto es... que el director dio una serie.
[02:53:58 -> 02:54:00]  ¿Verdad? No es...
[02:54:01 -> 02:54:03]  Le dejamos hablar un momento porque...
[02:54:06 -> 02:54:07]  A ver si lo podemos...
[02:54:07 -> 02:54:09]  A ver, el cuelgo y el otro no dan base, ¿no?
[02:54:10 -> 02:54:13]  O sea, pero si no, pues lo miran y lo aman.
[02:54:13 -> 02:54:17]  El acúdigo lo amo.
[02:54:17 -> 02:54:19]  ¿Pero que es el nuevo centro?
[02:54:19 -> 02:54:21]  ¿Qué va por el centro?
[02:54:21 -> 02:54:23]  Bien, pero...
[02:54:23 -> 02:54:25]  Sí, no, no hay ganas.
[02:54:29 -> 02:54:31]  ¿Por qué el nuevo centro?
[02:54:31 -> 02:54:33]  ¿Qué es lo que se defiende a un orden de eso?
[02:54:33 -> 02:54:35]  De un orden de ese?
[02:54:35 -> 02:54:37]  No, que la...
[02:54:37 -> 02:54:39]  que la...
[02:54:39 -> 02:54:41]  la...
[02:54:41 -> 02:54:43]  la policía en instante T
[02:54:43 -> 02:54:45]  siempre sea 1-0-0-1.
[02:54:45 -> 02:54:53]  1 la piedad que me obtengan por el matching.
[02:54:53 -> 02:54:57]  Pero no es el que queda, no?
[02:54:57 -> 02:54:59]  Claro.
[02:54:59 -> 02:55:02]  O sea, no es el que queda.
[02:55:02 -> 02:55:06]  Lo que está mostrando es que yo decía,
[02:55:06 -> 02:55:11]  esto te muestra 1, 0 por el G, bueno el G.
[02:55:11 -> 02:55:14]  La política es poniendo según lo que está.
[02:55:14 -> 02:55:22]  Pero jugó eso en lo que salió, o están viendo, o están bloqueando el vector,
[02:55:22 -> 02:55:27]  o sea la distribución de probabilidad cada por lo que regrese en la escala.
[02:55:27 -> 02:55:32]  Eso no pasa nada, que sea siempre 1, 0, 1.
[02:55:32 -> 02:55:34]  O sea, está acumulando.
[02:55:34 -> 02:55:40]  No, sí, sí, después la policía promedio ya va a hacer 5, 0, 5.
[02:55:40 -> 02:55:42]  La por medio es este.
[02:55:42 -> 02:55:44]  Este es el acceso para jugar.
[02:55:44 -> 02:55:46]  Está jugando en el arco por acá.
[02:55:46 -> 02:55:48]  Está jugando uno,
[02:55:48 -> 02:55:50]  acá, acá, acá, acá.
[02:55:50 -> 02:55:52]  Y por allá,
[02:55:52 -> 02:55:54]  deja de jugar acá.
[02:55:54 -> 02:55:56]  Eso es típico de
[02:55:56 -> 02:55:58]  de DJ Player.
[02:55:58 -> 02:56:00]  Eso es lo que...
[02:56:00 -> 02:56:02]  No, pero tiene sentido porque va a jugar
[02:56:02 -> 02:56:04]  unas cuantas partidas, una, hasta que
[02:56:04 -> 02:56:06]  el regreso le de para el otro lado.
[02:56:06 -> 02:56:08]  Pero...
[02:56:08 -> 02:56:11]  Eso no es un juego, es un juego a la gente.
[02:56:11 -> 02:56:17]  Pero por eso, que juegue eso, el punto va a que la policy en el instante T sea esa.
[02:56:17 -> 02:56:18]  Que está jugando, ¿no?
[02:56:18 -> 02:56:20]  Capaz que...
[02:56:20 -> 02:56:22]  O sea, si no me lo juega, no puedo jugar.
[02:56:22 -> 02:56:25]  Porque si estoy hecho play-scene, juega a la armaz.
[02:56:25 -> 02:56:27]  Me juego a la armaz de las otras.
[02:56:27 -> 02:56:30]  Me juego a la armaz de las otras y ya.
[02:56:30 -> 02:56:33]  Pero Regret Machine, que realmente juega...
[02:56:33 -> 02:56:38]  Haces sampling sobre la...
[02:56:38 -> 02:56:41]  Entonces puede ser que...
[02:56:41 -> 02:56:45]  Salvo que fuera el que sea tan...
[02:56:45 -> 02:56:47]  ...debalanceada...
[02:56:47 -> 02:56:50]  No, pero puede ser que...
[02:56:50 -> 02:56:53]  ...en el código...
[02:56:53 -> 02:56:56]  ...1 0 y 0 1 porque es lo que estaba jugando.
[02:56:56 -> 02:56:59]  Claro, claro, claro.
[02:56:59 -> 02:57:05]  Sí, o sea, por eso me encerraba lo que dijiste, oye, que quería dar la opción, a mí esto te la muestra.
[02:57:05 -> 02:57:11]  Pero capaz que no está bien por tener por el polisismo. Eso puede ser.
[02:57:11 -> 02:57:13]  Claro, porque no es la polis.
[02:57:13 -> 02:57:15]  Claro, es la acción y no es la acción.
[02:57:15 -> 02:57:17]  Que salió de la polis.
[02:57:17 -> 02:57:19]  Sí, me falta que...
[02:57:19 -> 02:57:23]  Que está como un polisismo, la polisismo que no va a la polis.
[02:57:23 -> 02:57:25]  Sí, como que eso no va a la polis.
[02:57:25 -> 02:57:28]  Si, lo que la política actual no...
[02:57:28 -> 02:57:30]  Pero todo lo que está.
[02:57:30 -> 02:57:34]  O sea, está bueno y buen tipo ver, mostrar lo que va jugando no cabe.
[02:57:34 -> 02:57:36]  Si, pero todo lo que está.
[02:57:36 -> 02:57:39]  La maldición de lo que pasa a la gente.
[02:57:42 -> 02:57:49]  Este tipo de milagros y la batalla general, lo hacíamos en fin.
[02:58:19 -> 02:58:26]  Los determinimentos y el mecanismo de la movilización de los experimentos son estas y estas son las gráficas.
[02:58:26 -> 02:58:30]  Esa estructura de... ¿Cuál te parece algo maravilloso?
[02:58:30 -> 02:58:34]  ¿Y algún tipo de gráfico?
[02:58:34 -> 02:58:35]  No sé, no sé.
[02:58:35 -> 02:58:36]  No sé, no sé.
[02:58:36 -> 02:58:38]  Creo que todas son gráficos.
[02:58:38 -> 02:58:42]  La media de la gráfica es que muestren un poco.
